,Dep_Airport,Dep_City,Dest_Airport,Dest_City,utc_departure,utc_arrival,return_utc_departure,return_utc_arrival,nights_in_dest,fare_category,price_PLN,airline_id,distance_km
118,WRO,Wrocław,BCN,Barcelona,2024-04-17 04:10:00,2024-04-17 06:50:00,2024-04-22 07:35:00,2024-04-22 10:20:00,5,M,1008,W6,1573.49
119,WRO,Wrocław,BCN,Barcelona,2024-04-19 04:10:00,2024-04-19 06:50:00,2024-04-24 07:30:00,2024-04-24 10:15:00,5,M,515,W6,1573.49
120,WRO,Wrocław,BCN,Barcelona,2024-04-19 04:10:00,2024-04-19 06:50:00,2024-04-26 07:30:00,2024-04-26 10:15:00,7,M,515,W6,1573.49
121,WRO,Wrocław,BCN,Barcelona,2024-04-19 04:10:00,2024-04-19 06:50:00,2024-05-01 07:30:00,2024-05-01 10:15:00,12,M,644,W6,1573.49
122,WRO,Wrocław,BCN,Barcelona,2024-04-19 04:10:00,2024-04-19 06:50:00,2024-04-29 07:35:00,2024-04-29 10:20:00,10,M,687,W6,1573.49
123,WRO,Wrocław,BCN,Barcelona,2024-04-19 04:10:00,2024-04-19 06:50:00,2024-05-03 07:30:00,2024-05-03 10:15:00,14,M,880,W6,1573.49
124,WRO,Wrocław,BCN,Barcelona,2024-04-19 04:10:00,2024-04-19 06:50:00,2024-04-22 07:35:00,2024-04-22 10:20:00,3,M,988,W6,1573.49
125,WRO,Wrocław,AGP,Málaga,2024-04-20 03:00:00,2024-04-20 06:50:00,2024-04-23 08:40:00,2024-04-23 12:20:00,3,M,511,W6,2333.99
126,WRO,Wrocław,AGP,Málaga,2024-04-20 03:00:00,2024-04-20 06:50:00,2024-04-27 07:35:00,2024-04-27 11:15:00,7,M,554,W6,2333.99
127,WRO,Wrocław,AGP,Málaga,2024-04-20 03:00:00,2024-04-20 06:50:00,2024-04-30 08:40:00,2024-04-30 12:20:00,10,M,640,W6,2333.99
128,WRO,Wrocław,AGP,Málaga,2024-04-20 03:00:00,2024-04-20 06:50:00,2024-05-04 07:35:00,2024-05-04 11:15:00,14,M,1742,W6,2333.99
129,WRO,Wrocław,BCN,Barcelona,2024-04-22 04:10:00,2024-04-22 06:50:00,2024-04-26 07:30:00,2024-04-26 10:15:00,4,M,825,W6,1573.49
130,WRO,Wrocław,BCN,Barcelona,2024-04-22 04:10:00,2024-04-22 06:50:00,2024-04-24 07:30:00,2024-04-24 10:15:00,2,M,825,W6,1573.49
131,WRO,Wrocław,BCN,Barcelona,2024-04-22 04:10:00,2024-04-22 06:50:00,2024-05-01 07:30:00,2024-05-01 10:15:00,9,M,954,W6,1573.49
132,WRO,Wrocław,BCN,Barcelona,2024-04-22 04:10:00,2024-04-22 06:50:00,2024-04-29 07:35:00,2024-04-29 10:20:00,7,M,997,W6,1573.49
133,WRO,Wrocław,BCN,Barcelona,2024-04-22 04:10:00,2024-04-22 06:50:00,2024-05-03 07:30:00,2024-05-03 10:15:00,11,M,1190,W6,1573.49
134,WRO,Wrocław,BCN,Barcelona,2024-04-22 04:10:00,2024-04-22 06:50:00,2024-05-06 07:35:00,2024-05-06 10:20:00,14,M,1642,W6,1573.49
135,WRO,Wrocław,FUE,Fuerteventura,2024-04-22 07:00:00,2024-04-22 12:05:00,2024-04-29 13:00:00,2024-04-29 17:50:00,7,M,5047,E4,3595.67
136,WRO,Wrocław,AGP,Málaga,2024-04-23 04:05:00,2024-04-23 07:55:00,2024-04-27 07:35:00,2024-04-27 11:15:00,4,M,754,W6,2333.99
137,WRO,Wrocław,AGP,Málaga,2024-04-23 04:05:00,2024-04-23 07:55:00,2024-05-07 08:40:00,2024-05-07 12:20:00,14,M,797,W6,2333.99
138,WRO,Wrocław,AGP,Málaga,2024-04-23 04:05:00,2024-04-23 07:55:00,2024-04-30 08:40:00,2024-04-30 12:20:00,7,M,840,W6,2333.99
139,WRO,Wrocław,AGP,Málaga,2024-04-23 04:05:00,2024-04-23 07:55:00,2024-05-04 07:35:00,2024-05-04 11:15:00,11,M,1942,W6,2333.99
140,WRO,Wrocław,BCN,Barcelona,2024-04-24 04:10:00,2024-04-24 06:50:00,2024-04-26 07:30:00,2024-04-26 10:15:00,2,M,515,W6,1573.49
141,WRO,Wrocław,BCN,Barcelona,2024-04-24 04:10:00,2024-04-24 06:50:00,2024-05-01 07:30:00,2024-05-01 10:15:00,7,M,644,W6,1573.49
142,WRO,Wrocław,BCN,Barcelona,2024-04-24 04:10:00,2024-04-24 06:50:00,2024-04-29 07:35:00,2024-04-29 10:20:00,5,M,687,W6,1573.49
143,WRO,Wrocław,BCN,Barcelona,2024-04-24 04:10:00,2024-04-24 06:50:00,2024-05-08 07:30:00,2024-05-08 10:15:00,14,M,794,W6,1573.49
144,WRO,Wrocław,BCN,Barcelona,2024-04-24 04:10:00,2024-04-24 06:50:00,2024-05-03 07:30:00,2024-05-03 10:15:00,9,M,880,W6,1573.49
145,WRO,Wrocław,BCN,Barcelona,2024-04-24 04:10:00,2024-04-24 06:50:00,2024-05-06 07:35:00,2024-05-06 10:20:00,12,M,1332,W6,1573.49
146,WRO,Wrocław,BCN,Barcelona,2024-04-26 04:10:00,2024-04-26 06:50:00,2024-05-01 07:30:00,2024-05-01 10:15:00,5,M,864,W6,1573.49
147,WRO,Wrocław,BCN,Barcelona,2024-04-26 04:10:00,2024-04-26 06:50:00,2024-04-29 07:35:00,2024-04-29 10:20:00,3,M,907,W6,1573.49
148,WRO,Wrocław,BCN,Barcelona,2024-04-26 04:10:00,2024-04-26 06:50:00,2024-05-08 07:30:00,2024-05-08 10:15:00,12,M,1014,W6,1573.49
149,WRO,Wrocław,BCN,Barcelona,2024-04-26 04:10:00,2024-04-26 06:50:00,2024-05-10 07:30:00,2024-05-10 10:15:00,14,M,1057,W6,1573.49
150,WRO,Wrocław,BCN,Barcelona,2024-04-26 04:10:00,2024-04-26 06:50:00,2024-05-03 07:30:00,2024-05-03 10:15:00,7,M,1100,W6,1573.49
151,WRO,Wrocław,BCN,Barcelona,2024-04-26 04:10:00,2024-04-26 06:50:00,2024-05-06 07:35:00,2024-05-06 10:20:00,10,M,1552,W6,1573.49
152,WRO,Wrocław,AGP,Málaga,2024-04-27 03:00:00,2024-04-27 06:50:00,2024-05-07 08:40:00,2024-05-07 12:20:00,10,M,1922,W6,2333.99
153,WRO,Wrocław,AGP,Málaga,2024-04-27 03:00:00,2024-04-27 06:50:00,2024-04-30 08:40:00,2024-04-30 12:20:00,3,M,1965,W6,2333.99
154,WRO,Wrocław,AGP,Málaga,2024-04-27 03:00:00,2024-04-27 06:50:00,2024-05-11 07:35:00,2024-05-11 11:15:00,14,M,2309,W6,2333.99
